verdant:   adj. Green with vegetation. 
grotesque:   adj. Incongruously composed or ill-proportioned. 
athwart:   adv. From side to side. 
conjoin:   v. To unite. 
inert:   adj. Inanimate. 
matrimony:   n. The union of a man and a woman in marriage. 
wry:   adj. Deviating from that which is proper or right. 
necessity:   n. That which is indispensably requisite to an end desired. 
dissonance:   n. Discord. 
exuberant:   adj. Marked by great plentifulness. 
ludicrous:   adj. Laughable. 
man-eater:   n. An animal that devours human beings. 
lough:   n. A lake or loch. 
saponaceous:   adj. Having the nature or quality of soap. 
gesture:   n. A movement or action of the hands or face, expressive of some idea or emotion. 
geniality:   n. Warmth and kindliness of disposition. 
epizootic:   adj. Prevailing among animals. 
promulgate:   v. To proclaim. 
transfusion:   n. The act of pouring from one vessel to another. 
edible:   adj. Suitable to be eaten. 
loneliness:   n. Solitude. 
quantity:   n. Magnitude. 
dialogue:   n. A formal conversation in which two or more take part. 
subconscious:   adj. Being or occurring in the mind, but without attendant consciousness or conscious perception. 
expend:   v. To spend. 
prosaic:   adj. Unimaginative. 
cardinal:   adj. Of prime or special importance. 
prodigal:   n. One wasteful or extravagant, especially in the use of money or property. 
consistency:   n. A state of permanence. 
exemplify:   v. To show by example. 
privity:   n. Knowledge shared with another or others regarding a private matter. 
generosity:   n. A disposition to give liberally or to bestow favors heartily. 
ballad:   n. Any popular narrative poem, often with epic subject and usually in lyric form. 
chromatic:   adj. Belonging, relating to, or abounding in color. 
emergence:   n. A coming into view. 
belle:   n. A woman who is a center of attraction because of her beauty, accomplishments, etc. 
philologist:   n. An expert in linguistics. 
psychiatry:   n. The branch of medicine that relates to mental disease. 
perpetuate:   v. To preserve from extinction or oblivion. 
errant:   adj. Roving or wandering, as in search of adventure or opportunity for gallant deeds. 
aqueduct:   n. A water-conduit, particularly one for supplying a community from a distance. 
consumptive:   adj. Designed for gradual destruction. 
fidelity:   n. Loyalty. 
parsimonious:   adj. Unduly sparing in the use or expenditure of money. 
humanitarian:   n. A philanthropist. 
refragable:   adj. Capable of being refuted. 
mordacious:   adj. Biting or giving to biting. 
exclude:   v. To shut out purposely or forcibly. 
fluent:   adj. Having a ready or easy flow of words or ideas. 
improvise:   v. To do anything extemporaneously or offhand. 
benevolence:   n. Any act of kindness or well-doing. 
vaccinate:   v. To inoculate with vaccine virus or virus of cowpox. 
laundress:   n. Washerwoman. 
tiresome:   adj. Wearisome. 
brittle:   adj. Fragile. 
demonstrable:   adj. Capable of positive proof. 
facile:   adj. Not difficult to do. 
diversity:   n. Dissimilitude. 
vincible:   adj. Conquerable. 
barcarole:   n. A boat-song of Venetian gondoliers. 
acreage:   n. Quantity or extent of land, especially of cultivated land. 
adjacent:   n. That which is near or bordering upon. 
tangible:   adj. Perceptible by touch. 
archangel:   n. An angel of high rank. 
editorial:   n. An article in a periodical written by the editor and published as an official argument. 
plasticity:   n. The property of some substances through which the form of the mass can readily be changed. 
insatiable:   adj. That desires or craves immoderately or unappeasably. 
insipid:   adj. Tasteless. 
univalence:   n. Monovalency. 
finally:   adv. At last. 
perambulate:   v. To walk about. 
criterion:   n. A standard by which to determine the correctness of a judgment or conclusion. 
comprise:   v. To consist of. 
ultimatum:   n. A final statement or proposal, as concerning terms or conditions. 
missal:   n. The book containing the service for the celebration of mass. 
pervade:   v. To pass or spread through every part. 
intolerable:   adj. Insufferable. 
contingency:   n. Possibility of happening. 
instill:   v. To infuse. 
effete:   adj. Exhausted, as having performed its functions. 
cereal:   adj. Pertaining to edible grain or farinaceous seeds. 
intellect:   n. The faculty of perception or thought. 
astute:   adj. Keen in discernment. 
incandescent:   adj. White or glowing with heat. 
overweight:   n. Preponderance. 
interrupt:   v. To stop while in progress. 
tutelar:   adj. Protective. 
somnolent:   adj. Sleepy. 
limitation:   n. A restriction. 
receivable:   adj. Capable of being or fit to be received - often money. 
peripatetic:   adj. Walking about. 
reliquary:   n. A casket, coffer, or repository in which relics are kept. 
wile:   n. An act or a means of cunning deception. 
metaphor:   n. A figure of speech in which one object is likened to another, by speaking as if the other. 
monstrosity:   n. Anything unnaturally huge or distorted. 
exigent:   adj. Urgent. 
inimical:   adj. Adverse. 
momentous:   adj. Very significant. 
collier:   n. One who works in a coal-mine. 
adhesion:   n. The state of being attached or joined. 
preestablish:   v. To settle or arrange beforehand. 
unaccountable:   adj. Inexplicable. 
tipsy:   adj. Befuddled with drinks. 
ebullient:   adj. Showing enthusiasm or exhilaration of feeling. 
adulterate:   v. To make impure by the admixture of other or baser ingredients. 
lifelong:   adj. Lasting or continuous through life. 
terminus:   n. The final point or goal. 
mallet:   n. A wooden hammer. 
capacious:   adj. Roomy. 
intrigue:   n. A plot or scheme, usually complicated and intended to accomplish something by secret ways. 
concussion:   n. A violent shock to some organ by a fall or a sudden blow. 
abstinence:   n. Self denial. 
ashen:   adj. Pale. 
eatable:   adj. Edible. 
mutilate:   v. To disfigure. 
transfusible:   adj. Capable of being poured from one vessel to another. 
microcosm:   n. The world or universe on a small scale. 
preempt:   v. To secure the right of preference in the purchase of public land. 
pledgeor:   n. One who gives a pledge. 
monosyllable:   n. A word of one syllable. 
impassive:   adj. Unmoved by or not exhibiting feeling. 
embezzle:   v. To misappropriate secretly. 
consolidate:   v. To combine into one body or system. 
finesse:   n. Subtle contrivance used to gain a point. 
malady:   n. Any physical disease or disorder, especially a chronic or deep-seated one. 
demurrage:   n. the detention of a vessel beyond the specified time of sailing. 
tranquility:   n. Calmness. 
iniquity:   n. Gross wrong or injustice. 
pillory:   n. A wooden framework in which an offender is fastened to boards and is exposed to public scorn.
epilogue:   n. The close of a narrative or dramatic poem. 
profession:   n. Any calling or occupation involving special mental or other special disciplines. 
inquisition:   n. A court or tribunal for examination and punishment of heretics. 
fancier:   n. One having a taste for or interest in special objects. 
hypnotic:   adj. Tending to produce sleep. 
triplicate:   adj. Composed of or pertaining to three related things or parts. 
cynical:   adj. Exhibiting moral skepticism. 
expatriate:   v. To drive from one's own country. 
trenchant:   adj. Cutting deeply and quickly. 
indefensible:   adj. Untenable. 
forswear:   v. To renounce upon oath. 
prominence:   n. The quality of being noticeable or distinguished. 
non-existent:   n. That which does not exist. 
epicycle:   n. A circle that rolls upon the external or internal circumference of another circle. 
denizen:   n. Inhabitant. 
indomitable:   adj. Unconquerable. 
ruminant:   adj. Chewing the cud. 
genteel:   adj. Well-bred or refined. 
expeditious:   adj. Speedy. 
peccant:   adj. Guilty. 
entail:   v. To involve; necessitate. 
discolor:   v. To stain. 
compliment:   v. To address or gratify with expressions of delicate praise. 
natal:   adj. Pertaining to one's birth. 
arrogant:   adj. Unduly or excessively proud, as of wealth, station, learning, etc. 
perspicacity:   n. Acuteness or discernment. 
impudence:   n. Insolent disrespect. 
acquit:   v. To free or clear, as from accusation. 
migrant:   adj. Wandering. 
calorie:   n. Amount of heat needed to raise the temperature of 1 kilogram of water 1 degree centigrade. 
benefice:   n. A church office endowed with funds or property for the maintenance of divine service. 
leaflet:   n. A little leaf or a booklet. 
alchemy:   n. Chemistry of the middle ages, characterized by the pursuit of changing base metals to gold. 
thesis:   n. An essay or treatise on a particular subject. 
indigence:   n. Poverty. 
elasticity:   n. That property of matter by which a body tends to return to a former shape after being changed. 
mishap:   n. Misfortune. 
unaffected:   adj. Sincere. 
globular:   adj. Spherical. 
physicist:   n. A specialist in the science that treats of the phenomena associated with matter and energy. 
almanac:   n. A series of tables giving the days of the week together with certain astronomical information. 
fawn:   n. A young deer. 
ministry:   n. A service. 
sedentary:   adj. Involving or requiring much sitting. 
maternal:   adj. Pertaining or peculiar to a mother or to motherhood. 
hawthorn:   n. A thorny shrub much used in England for hedges. 
disconsolate:   adj. Grief-stricken. 
demagogue:   n. An unprincipled politician. 
foible:   n. A personal weakness or failing. 
perspicuous:   adj. Lucid. 
treatise:   n. An elaborate literary composition presenting a subject in all its parts. 
humiliate:   v. To put to shame. 
risible:   adj. capable of exciting laughter. 
latish:   adj. Rather late. 
relevant:   adj. Bearing upon the matter in hand. 
obituary:   adj. A published notice of a death. 
account:   n. A record or statement of receipts and expenditures, or of business transactions. 
extremity:   n. The utmost point, side, or border, or that farthest removed from a mean position. 
